thesau_%0;term;term.soort;term.status;use_count;narrower_term;broader_term;related_term;equivalent_term;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22626;Ontwerper;rol#onderwerp;descriptor;1772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20825;Hervormde kerk;geografisch trefwoord#onderwerp#redactionele vorm;descriptor;1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
517;historische geografie;onderwerp;descriptor;1740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34386;raadhuizen;onderwerp#geografisch trefwoord;descriptor;1722;Raadzaal;bestuursgebouwen;gemeentehuizen#stadhuizen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21478;Nieuwe Hollandse Waterlinie;geografisch trefwoord#onderwerp;descriptor;1707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2070;Metselwerk;onderwerp#objectnaam;descriptor;1686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;geologie;onderwerp;descriptor;1646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29628;Vestingwerken;onderwerp;descriptor;1642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62032;Proefputten/proefsleuven;onderzoek/gebruik methode#onderwerp;kandidaat;1639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88981;watermolens;onderwerp;descriptor;1594;bovenslagmolens#getijdenmolens#middenslagmolens#onderslagmolens#schipmolens#turbinemolens;molens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67601;biografie, biografische woordenboeken: overige;onderwerp;niet gedefinieerd;1506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484;parken;onderwerp;descriptor;1444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59385;Rundveestalinterieur;onderwerp;kandidaat;1419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68451;Onderzoek van schilderijen;onderwerp;descriptor;1418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27334;Ceramiek;onderwerp;descriptor;1416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21230;18e eeuw;onderwerp;descriptor;1414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19341;17e eeuw;onderwerp;descriptor;1407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;stadsarcheologie;onderwerp;descriptor;1399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3887;Rijnland;geografisch trefwoord#onderwerp;descriptor;1391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88022;wasschijven;onderwerp;descriptor;1391;;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Landgoed;onderwerp#objectnaam#geografisch trefwoord;descriptor;1368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9818;Prent;materiaalsoort#onderwerp#objectnaam;descriptor;1318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88333;bakhuizen;onderwerp;descriptor;1313;;bijgebouwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59382;Woninginterieur;onderwerp;kandidaat;1307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34510;Technologie;onderwerp;descriptor;1296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;bouwkunde;onderwerp;descriptor;1292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44620;begeleiding;rol#onderwerp#onderzoek/gebruik methode;kandidaat;1289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88505;musea;onderwerp#materiaalsoort;descriptor;1285;Oudheidkamers;cultuurgebouwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;landbouw;onderwerp;descriptor;1255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4057;paleis;onderwerp;descriptor;1250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84918;pigmenten;onderwerp#trefwoord#ingredient;descriptor;1248;blauwe pigmenten#bruine pigmenten#gele pigmenten#groene pigmenten#rode pigmenten#witte pigmenten#zwarte pigmenten;materialen;koperphthalocyanineblauw#titaandioxide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1677;pastorie;onderwerp;descriptor;1244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1324;cultuurlandschap;onderwerp#geografisch trefwoord;descriptor;1239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
